code|ingredient_code|start_date|end_date|multiplier
CLUB_SANDWICH|BREAD|||1
BREAD|FLOUR|||1
BREAD|YEAST|||1
BREAD|YEAST|2016-12-10|2016-12-26|0
BREAD|SUPER_YEAST|2016-12-10|2016-12-26|1
BREAD|SUPER_YEAST|2016-12-24|2016-12-24|0
BREAD|HYPER_YEAST|2016-12-24|2016-12-24|1
CLUB_SANDWICH|MAYO|||1
MAYO|EGG|||1
MAYO|EGG|2016-12-06|2017-01-01|0
MAYO|EGGS_ORGANIC|2016-12-06|2017-01-01|1
MAYO|OIL|||1
MAYO|DIJON_MUSTARD||2016-11-20|1
MAYO|FRENCHS_MUSTARD|2016-11-21||1
MUSTARD|GARLIC_POWDER|||1
GARLIC_POWDER|GARLIC|||1
CLUB_SANDWICH|BACON|||1
CLUB_SANDWICH|BACON|2016-12-31|2016-12-31|0
CLUB_SANDWICH|FAKE_BACON|2016-12-31|2016-12-31|1
FAKE_BACON|HAM|||1
FAKE_BACON|BACON_SPICE|||1
