code|ingredient_code|start_date|end_date|multiplier
CLUB_SANDWICH|BREAD|||1
BREAD|FLOUR|||2
BREAD|YEAST|||1
BREAD|YEAST|2016-12-10|2016-12-26|0
BREAD|SUPER_YEAST|2016-12-10|2016-12-26|1
BREAD|SUPER_YEAST|2016-12-24|2016-12-24|0
BREAD|HYPER_YEAST|2016-12-24|2016-12-24|0.1
CLUB_SANDWICH|MAYO|||3
MAYO|EGG|||2
EGG|EGG_WHITE|||1
EGG|EGG_YOLK|||1
MAYO|OIL|||2.5
MAYO|MUSTARD|||1
MUSTARD|GARLIC_POWDER|||0
MUSTARD|MUSTARD_SEEDS|||5
GARLIC_POWDER|GARLIC|||1
CLUB_SANDWICH|BACON|||4
FRIED_EGGS|EGG|||1
FRIED_EGGS|OIL|||1
